row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime
10,global,global,0,0,0,0,9,,,1,warmup,HUZZULYFHNSSNYT,HHTUZEFSTSYUZYF,6,L,absent,lL,nN,l,1,0.514409,n,1,0.4567682,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
1,local,local,0,0,1,1,0,,,2,warmup,SZYHNUSUYHZFEEF,YHFFTSESEHZLZUY,5,T,absent,tT,nN,t,1,0.504543,n,1,0.2808502,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
3,local,local,7,0,2,2,2,,,3,warmup,ENZHFSTFSYNLEZL,ZNLUYLEYFTXNETF,4,U,X,uU,yY,u,1,0.6291108,y,1,0.4971808,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
6,local,global,7,0,3,3,5,,,4,warmup,FENTZHULTUFXELN,LUETSEYTUFNYHNL,5,S,X,sS,yY,s,1,0.4247024,n,0,0.262935,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
9,global,local,7,0,4,4,8,,,5,warmup,UHYNFUYZEEZTSSN,ZUSSLYTENYHXNTE,5,F,X,fF,yY,f,1,0.5315172,y,1,0.3491298,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
8,global,local,3,0,0,0,7,,,6,exp,HFSSYETNUYULNTF,SFLNUZSHXYTTYLN,6,E,X,eE,yY,y,0,0.7553022,n,0,0.2729955,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
1,local,local,0,0,1,1,0,,,7,exp,ZEULTEHHTFFSZSY,FUSNSUYEFEYZTHH,4,N,absent,nN,nN,n,1,0.4928477,n,1,0.2730015,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
2,local,local,3,0,2,2,1,,,8,exp,ZLHTUYUHNNFTEZE,NUELLSTZXUFNEHT,6,S,X,sS,yY,s,1,0.4002144,n,0,0.2529153,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
8,global,local,3,0,3,3,7,,,9,exp,UZLEHSTFZYETLFY,FTFLNUTXYLSZZYU,5,H,X,hH,yY,h,1,0.4766433,n,0,0.2682943,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
4,local,global,0,0,4,4,3,,,10,exp,YSNHESFTZFHZYLL,HLLFUZSHYFNZTNS,5,U,absent,uU,nN,u,1,0.5003182,n,1,0.3705043,RSVPLG01,0.94,2023-09-12-22:22:52,90014,1,Experiment,2023-09-12_15h49.57.046
