row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime,
10,global,global,0,0,0,0,9,,,1,warmup,NHZNETUYEZFHYUF,YHFUFSLENNEZLYZ,6,T,absent,tT,nN,t,1,1.091457000002265,n,1,1.0280197000247426,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
3,local,local,7,0,1,1,2,,,2,warmup,HENNUYFTLHTLSFE,USHNSZFLNFHTXLE,6,Z,X,zZ,yY,z,1,1.208846999972593,y,1,0.6252038999809884,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
6,local,global,7,0,2,2,5,,,3,warmup,HZELTSFYUTXYEUZ,ZEUNFTYFYTHUSES,4,N,X,nN,yY,y,0,0.6886537999962457,y,1,0.20965439995052293,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
2,local,local,3,0,3,3,1,,,4,warmup,TYLNTZHSEYEHUSN,YLEHTFNSXTLYSUN,6,F,X,fF,yY,f,1,0.40072680002776906,y,1,0.6051647000131197,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
12,global,global,7,0,4,4,11,,,5,warmup,ZZHHSLUYUENXFNE,UNFYTZYUHZLHEEF,5,S,X,sS,yY,s,1,0.6749107000068761,y,1,0.3948276999872178,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
7,global,local,0,0,0,0,6,,,6,exp,TYHNEYUZLETHZSL,HHEFLYYLUSSEZZT,4,N,absent,nN,nN,n,1,0.7019132999703288,n,1,0.25481850001960993,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
9,global,local,7,0,1,1,8,,,7,exp,NFESLHHEUYSTTYF,ETNSZYUFEHUXNHS,5,L,X,lL,yY,l,1,0.6639281999669038,y,1,0.25315850001061335,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
6,local,global,7,0,2,2,5,,,8,exp,EYYFEHSUSNXHNTZ,HYZLZUHYSETENUN,4,L,X,lL,yY,f,0,0.7269225000054576,y,1,0.3019699000287801,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
2,local,local,3,0,3,3,1,,,9,exp,SNETNUZSTZLEYHL,NLNSHFZEXTLEYSZ,6,F,X,fF,yY,h,0,0.6085178999928758,y,1,0.0916395999956876,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
9,global,local,7,0,4,4,8,,,10,exp,SUYFTLFNHYHLSNZ,HYULEHFLZSYXNFU,5,T,X,tT,yY,t,1,0.5273068000096828,y,1,0.2468473000335507,RSVPLG01,0.94,2023-09-12-22:23:06,905,1,Experiment,2023-09-12_15h38.54.378,
