row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime,
11,global,global,3,0,0,0,10,1,warmup,ZHZSYFEXHUUETNS,TSZULNSNFHEETZU,5,Y,X,yY,yY,y,1,1.2874487999943085,n,0,0.8314966000034474,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
4,local,global,0,0,1,1,3,2,warmup,TELYSNNLZFZTUUF,FTNHSNSEUZFZTUE,4,H,absent,hH,nN,h,1,1.1868344999966212,n,1,0.6596718999790028,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
7,global,local,0,0,2,2,6,3,warmup,NFUYSTLHZNHZUFY,FSZZHESLFYNHUUY,6,T,absent,tT,nN,u,0,2.979761300026439,n,1,0.7259152000187896,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
8,global,local,3,0,3,3,7,4,warmup,SLYUFLHSTEZZTUE,HTLUNHEXLZSUEYT,5,F,X,fF,yY,f,1,1.0590495999786071,n,0,0.6946798000135459,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
10,global,global,0,0,4,4,9,5,warmup,NLTZHZNLFTFEYYE,LENLSTUZUEYYTNF,5,H,absent,hH,nN,h,1,4.20341830002144,n,1,0.932430699991528,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
2,local,local,3,0,0,0,1,6,exp,UHSYNFUSLFYLETH,USYLZFEXHETLYTH,5,Z,X,zZ,yY,z,1,1.3324253000319004,y,1,1.8476883000112139,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
9,global,local,7,0,1,1,8,7,exp,LSTLZYETSEHFUHU,EYHFNUHETLUXYTF,5,Z,X,zZ,yY,z,1,1.261264199973084,n,0,0.6183587000123225,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
6,local,global,7,0,2,2,5,8,exp,FSNYSTHNZHXFTUL,SLTELSZUHNFZFUT,4,E,X,eE,yY,e,1,1.139376099978108,n,0,0.9276479000109248,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
2,local,local,3,0,3,3,1,9,exp,YZYZHEFEFSNUSNL,NLZZTUEXUENSYSL,5,T,X,tT,yY,t,1,1.0556592000066303,n,0,0.5278599000303075,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
12,global,global,7,0,4,4,11,10,exp,LHSTYYUUHSXLZFF,HLLEHFYFYNNUZSU,4,T,X,tT,yY,t,1,0.9525401000282727,n,0,0.3867395999841392,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
8,global,local,3,0,5,5,7,11,exp,UENFZLHLHFSNUET,FHNFYETXLSLTNHS,5,Z,X,zZ,yY,z,1,0.9077854999923147,y,1,2.001161399995908,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
1,local,local,0,0,6,6,0,12,exp,NFSUHTTZNHESYZE,TSFLHTNYZHSFYNE,4,L,absent,lL,nN,t,0,1.1865142000024207,n,1,0.5083492999547161,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
2,local,local,3,0,7,7,1,13,exp,YSUFZZESTHHEYLL,HEZNYYXLHSZLESU,4,N,X,nN,yY,n,1,1.0987292000208981,n,0,0.3640386000042781,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
1,local,local,0,0,8,8,0,14,exp,SESNZTNHYUUHETY,EUYFLNSHTNUSYTH,5,L,absent,lL,nN,f,0,1.9874307999853045,n,1,0.4966388000175357,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
2,local,local,3,0,9,9,1,15,exp,NHLTEFLUUZHETZN,NLTENSULXUEYZHZ,6,S,X,sS,yY,s,1,1.2806893000379205,n,0,0.4707331000245176,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
11,global,global,3,0,10,10,10,16,exp,LUHSZEXUFFYYHEZ,HFFNZTYLEYUETUL,4,S,X,sS,yY,s,1,1.0162794000352733,n,0,0.43446190003305674,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
5,local,global,3,0,11,11,4,17,exp,YZNYTFLXSUUZFLN,SZYFEFZLHUYNSLH,5,E,X,eE,yY,e,1,1.110731000022497,n,0,0.37690410000504926,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
8,global,local,3,1,0,12,7,18,exp,YUFZNHYUTSNFESE,FUHLNSXTEYHNEYS,4,Z,X,zZ,yY,z,1,2.394675699993968,n,0,0.290529299993068,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
12,global,global,7,1,1,13,11,19,exp,HUFLSLNYUHEXZNZ,EHFZTLFHZNUULYY,5,S,X,sS,yY,s,1,1.4977972999913618,n,0,0.24303579999832436,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
4,local,global,0,1,2,14,3,20,exp,NEZTYSUUSZHFYEH,SUULFNHYENSHZEF,4,L,absent,lL,nN,l,1,1.0924180000438355,n,1,0.31118869996862486,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
5,local,global,3,1,3,15,4,21,exp,ESHFZTZHXSYFNLL,HYSFZUNELYLEHNZ,6,U,X,uU,yY,u,1,1.076372999988962,n,0,0.3971836999990046,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
5,local,global,3,1,4,16,4,22,exp,ZNEHLSFEXTYTNZY,FLTZHUNEFZTYLHN,6,U,X,uU,yY,u,1,1.0322000000160187,n,0,0.1065713000134565,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
3,local,local,7,1,5,17,2,23,exp,TFYLHUSNFESHLNE,ESLHNZYNLYHSXFT,6,Z,X,zZ,yY,z,1,0.9376099000219256,n,0,0.45838490000460297,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
10,global,global,0,1,6,18,9,24,exp,NSYHZFLLSHZUNYU,SUHYNTZLEEUYZNH,6,F,absent,fF,nN,f,1,1.0875591999501921,n,1,0.3535165999783203,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
11,global,global,3,1,7,19,10,25,exp,NFTYHUEXZZLYFEN,EYUNSLFZTLTNEYZ,5,H,X,hH,yY,h,1,0.9433744999696501,n,0,0.3143724999972619,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
10,global,global,0,1,8,20,9,26,exp,TUZYNLUFHYZTHNF,YHZYFENFUTHSNSU,6,L,absent,lL,nN,l,1,1.5757835999829695,n,1,0.4802072999882512,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
4,local,global,0,1,9,21,3,27,exp,SEYTNSTHYZUUHLZ,HHTUFYLULSEZZTS,5,F,absent,fF,nN,f,1,0.9668096000095829,n,1,0.39449470001272857,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
12,global,global,7,1,10,22,11,28,exp,NEYTHUYTUZNXFES,TEYFLZNSZSFNUEY,5,H,X,hH,yY,h,1,1.7743809999665245,n,0,1.188831199950073,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
12,global,global,7,1,11,23,11,29,exp,LUSZSNFTNHXLEFE,SFLYETEUHTFSLNN,4,Z,X,zZ,yY,z,1,0.8893135999678634,n,0,0.3062190000200644,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
3,local,local,7,2,0,24,2,30,exp,FLNEYTLUEUZHNTF,TLFZSFEULZNXUET,5,S,X,sS,yY,s,1,1.1110849999822676,y,1,20.882559399993625,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
10,global,global,0,2,1,25,9,31,exp,EULLYSZSFNUNHZE,ZHLZTNLHSFFNEEU,5,Y,absent,yY,nN,y,1,1.177435500023421,n,1,0.18621080002048984,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
5,local,global,3,2,2,26,4,32,exp,SNLFEUXLTZEUZNH,TLUYSZZEHHNEUTS,4,Y,X,yY,yY,y,1,0.8140127999940887,n,0,0.2573905999888666,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
11,global,global,3,2,3,27,10,33,exp,ELUNLYXZTUHTZFH,YEZSLUHELUZTFYT,4,N,X,nN,yY,n,1,1.0976507000159472,n,0,0.3714527999982238,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
2,local,local,3,2,4,28,1,34,exp,YSSEFNTZELTHZFL,YFEHLUETXTZSFLH,6,U,X,uU,yY,u,1,8.168157399981283,y,1,0.3023694999865256,RSVPLG01,0.94,2023-09-12-22:25:06,910,1,Experiment,2023-09-12_15h40.05.672,
