exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,1,20251021-141317,local,local,750,S,S,A,E,A-S.png,E-S.png,sS,sS,mask-2.png,mask-4.png,s,1,3.1346096999477595,none,-5,0,0.08943230006843805,0.09667810006067157,0.19040210009552538,0.19872480002231896,0.7370623000897467
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,2,20251021-141324,local,local,750,H,H,A,E,A-H.png,E-H.png,hH,hH,mask-4.png,mask-1.png,h,1,0.7377158000599593,none,-5,0,0.0976156999822706,0.09636640013195574,0.19749839999713004,0.19983469997532666,0.7433549999259412
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,3,20251021-141329,global,local,750,H,H,A,E,H-A.png,E-H.png,hH,hH,mask-2.png,mask-2.png,h,1,3.7942795001436025,none,-5,0,0.0952416998334229,0.09588530007749796,0.19729529996402562,0.19775950000621378,0.7434148997999728
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,4,20251021-141337,global,local,750,S,H,A,A,S-A.png,A-H.png,sS,hH,mask-4.png,mask-4.png,s,1,1.6221038000658154,none,-5,0,0.0965200001373887,0.09637230006046593,0.19931120006367564,0.19939079997129738,0.7446435000747442
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,5,20251021-141343,global,local,750,H,H,A,A,H-A.png,A-H.png,hH,hH,mask-3.png,mask-1.png,h,1,1.2326386999338865,none,-5,0,0.09747579996474087,0.09743120009079576,0.20037089986726642,0.19829119998030365,0.7452562998514622
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,6,20251021-141348,global,global,750,S,H,A,A,S-A.png,H-A.png,sS,hH,mask-1.png,mask-3.png,s,1,1.5923123999964446,none,-5,0,0.09738759999163449,0.09654749999754131,0.19945399998687208,0.19959209999069571,0.7439220000524074
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,7,20251021-141354,local,local,750,H,S,E,E,E-H.png,E-S.png,hH,sS,mask-3.png,mask-3.png,h,1,1.3670262999366969,none,-5,0,0.09555549989454448,0.09552770014852285,0.19647590001113713,0.1975682000629604,0.7440656998660415
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,8,20251021-141359,global,global,750,S,H,E,A,S-E.png,H-A.png,sS,hH,mask-4.png,mask-3.png,s,1,0.9968717000447214,none,-5,0,0.09654230019077659,0.09653709991835058,0.1996941000688821,0.1984073999337852,0.7451683001127094
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,9,20251021-141405,global,local,750,S,H,A,E,S-A.png,E-H.png,sS,hH,mask-1.png,mask-3.png,s,1,1.401314899791032,none,-5,0,0.09539739997126162,0.0963653998915106,0.19837619992904365,0.19865079992450774,0.743716900004074
RSVPLG03,sg,20251021-141238,1.0.1,20251020-085245,708,Introduction,T1,1,Automatic,main,10,20251021-141410,local,global,750,H,S,E,A,E-H.png,S-A.png,hH,sS,mask-3.png,mask-3.png,s,0,1.0159558998420835,none,-5,0,0.09746359987184405,0.09650099999271333,0.19851860008202493,0.1979890998918563,0.744712800020352
