"exp","ver","sub","exp_initials","blocktype","trial","trialtime","trialtype","t1_level","t2_level","lag","t2_lag","targets","cuetype","mode","t1","t1_corr","t1_resp","t1_acc","t1_rt","t1_dur","t2","t2_corr","t2_resp","t2_acc","t2_rt","t2_dur","distractor1","distractor2","maskfile1","maskfile2","t1mask_soa","t2mask_soa","t1t2_soa"
"RSVPLG03","1.0.1",701,"km","Introduction",1,"20251014-093841","main","local","local",750,750,"T1",1,"Automatic","H","hH","h",1,2.08847740013152,0.0956748998723924,"H","hH","none",-5,0,0.100284999934956,"A","E","mask-1.png","mask-1.png",0.193342099897563,0.200700299814343,0.741479899967089
"RSVPLG03","1.0.1",701,"km","Introduction",2,"20251014-093848","main","global","local",750,750,"T1",1,"Automatic","H","hH","h",1,1.1612632998731,0.10083010001108,"S","sS","none",-5,0,0.0994949999731034,"A","E","mask-4.png","mask-2.png",0.202170999953523,0.198616800131276,0.750817599939182
"RSVPLG03","1.0.1",701,"km","Introduction",3,"20251014-093853","main","global","local",750,750,"T1",1,"Automatic","S","sS","s",1,0.402396500110626,0.0971376001834869,"H","hH","none",-5,0,0.0989771999884397,"E","E","mask-1.png","mask-4.png",0.196967600146309,0.198948299977928,0.747981599997729
"RSVPLG03","1.0.1",701,"km","Introduction",4,"20251014-093857","main","local","local",750,750,"T1",1,"Automatic","H","hH","h",1,0.709014300024137,0.0989639000035822,"H","hH","none",-5,0,0.0994863999076188,"E","E","mask-2.png","mask-1.png",0.200151500059292,0.20048479991965,0.749113500118256
"RSVPLG03","1.0.1",701,"km","Introduction",5,"20251014-093902","main","local","global",750,750,"T1",1,"Automatic","H","hH","s",0,1.32028739992529,0.0985568999312818,"S","sS","none",-5,0,0.0987639999948442,"E","E","mask-4.png","mask-4.png",0.19839320005849,0.198575100162998,0.749550299951807
"RSVPLG03","1.0.1",701,"km","Introduction",6,"20251014-093908","main","global","global",750,750,"T1",1,"Automatic","S","sS","s",1,0.69623739994131,0.0990028001833707,"S","sS","none",-5,0,0.10098380013369,"A","A","mask-1.png","mask-3.png",0.200025000143796,0.20095290010795,0.748919300036505
"RSVPLG03","1.0.1",701,"km","Introduction",7,"20251014-093912","main","local","local",750,750,"T1",1,"Automatic","H","hH","h",1,0.722335000056773,0.0989890000782907,"H","hH","none",-5,0,0.0992282000370324,"E","E","mask-2.png","mask-1.png",0.200786999892443,0.198121699970216,0.749153099954128
"RSVPLG03","1.0.1",701,"km","Introduction",8,"20251014-093917","main","local","local",750,750,"T1",1,"Automatic","H","hH","s",0,1.7859710000921,0.0998596001882106,"S","sS","none",-5,0,0.10026969993487,"E","A","mask-3.png","mask-3.png",0.199212500127032,0.200984500115737,0.748185500036925
"RSVPLG03","1.0.1",701,"km","Introduction",9,"20251014-093923","main","global","local",750,750,"T1",1,"Automatic","H","hH","h",1,0.759448800003156,0.100138199981302,"S","sS","none",-5,0,0.100180499954149,"A","A","mask-3.png","mask-2.png",0.200001199962571,0.200650200014934,0.748252799967304
"RSVPLG03","1.0.1",701,"km","Introduction",10,"20251014-093928","main","local","global",750,750,"T1",1,"Automatic","H","hH","h",1,2.40838269982487,0.0981773999519646,"S","sS","none",-5,0,0.0964375000912696,"A","E","mask-2.png","mask-3.png",0.198870599968359,0.198370200116187,0.749573200009763
"RSVPLG03","1.0.1",701,"km","Introduction",11,"20251014-093935","main","global","global",750,750,"T1",1,"Automatic","H","hH","h",1,0.52319739991799,0.100890200119466,"H","hH","none",-5,0,0.0967252000700682,"E","A","mask-1.png","mask-1.png",0.20017970004119,0.197093300055712,0.750219600042328
"RSVPLG03","1.0.1",701,"km","Introduction",12,"20251014-093939","main","global","local",750,750,"T1",1,"Automatic","S","sS","s",1,0.6447525001131,0.0995359998196363,"H","hH","none",-5,0,0.100913299946114,"E","A","mask-1.png","mask-2.png",0.198559599928558,0.201135699870065,0.747335199965164
"RSVPLG03","1.0.1",701,"km","Introduction",13,"20251014-093944","main","local","global",750,750,"T1",1,"Automatic","S","sS","h",0,2.7813812000677,0.0994049001019448,"S","sS","none",-5,0,0.0994251000229269,"A","A","mask-3.png","mask-1.png",0.199821999995038,0.19819419994019,0.749945600051433
"RSVPLG03","1.0.1",701,"km","Introduction",14,"20251014-093951","main","local","global",750,750,"T1",1,"Automatic","S","sS","s",1,0.600600600009784,0.0994313999544829,"S","sS","none",-5,0,0.0997208000626415,"A","E","mask-3.png","mask-4.png",0.199702799785882,0.199753599939868,0.749270499916747
"RSVPLG03","1.0.1",701,"km","Introduction",15,"20251014-093956","main","global","global",750,750,"T1",1,"Automatic","S","sS","s",1,0.62248310004361,0.100419500144199,"S","sS","none",-5,0,0.099463100079447,"A","E","mask-3.png","mask-2.png",0.200190200004727,0.198610899969935,0.750116700073704
"RSVPLG03","1.0.1",701,"km","Introduction",16,"20251014-094001","main","global","global",750,750,"T1",1,"Automatic","H","hH","h",1,0.978262200020254,0.0999898000154644,"S","sS","none",-5,0,0.101047699805349,"A","E","mask-3.png","mask-1.png",0.199662100058049,0.199366999790072,0.748749300139025
"RSVPLG03","1.0.1",701,"km","Practice",1,"20251014-094118","main","local","local",300,300,"T1",1,"Automatic","S","sS","h",0,1.6326323999092,0.0446860999800265,"S","sS","none",-5,0,0.0501711999531835,"A","E","mask-3.png","mask-1.png",0.0939285999629646,0.0982398998457938,0.295304900035262
"RSVPLG03","1.0.1",701,"km","Practice",2,"20251014-094123","main","global","global",750,750,"T1",1,"Automatic","H","hH","h",1,0.513199100038037,0.0496942000463605,"H","hH","none",-5,0,0.0505642998032272,"A","E","mask-1.png","mask-3.png",0.0977568998932838,0.10112649993971,0.746278800070286
"RSVPLG03","1.0.1",701,"km","Practice",3,"20251014-094128","main","local","global",300,300,"T1",1,"Automatic","H","hH","s",0,0.567445300053805,0.0497161000967026,"S","sS","none",-5,0,0.0502256001345813,"A","E","mask-4.png","mask-4.png",0.0992409000173211,0.0996964999940246,0.297412999905646
